RUN	STATUS	RUNTIME(s)	OUTPUT
1005	OK	72	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_1005.root
1004	OK	105	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_1004.root
1001	OK	182	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_1001.root
1003	OK	1592	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_1003.root
1007	OK	3564	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_1007.root
1006	OK	3602	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_1006.root
1002	OK	4381	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_1002.root
