RUN	STATUS	RUNTIME(s)	OUTPUT	DATETIME
2015	OK	572	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2015.root	Mon Jun 22 02:50:50 PM CEST 2026
2021	OK	1432	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2021.root	Mon Jun 22 03:32:52 PM CEST 2026
2017	OK	1328	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2017.root	Mon Jun 22 04:01:42 PM CEST 2026
2014	OK	1399	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2014.root	Mon Jun 22 04:06:15 PM CEST 2026
2019	OK	1389	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2019.root	Mon Jun 22 04:14:34 PM CEST 2026
2018	OK	1366	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2018.root	Mon Jun 22 04:17:47 PM CEST 2026
2020	OK	1496	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2020.root	Mon Jun 22 04:18:46 PM CEST 2026
2016	OK	1364	/u/ddas/software/Salvador/rootfiles/ddas/disi/disi_2016.root	Mon Jun 22 04:19:53 PM CEST 2026
