RUN	STATUS	RUNTIME(s)	OUTPUT	DATETIME
2015	OK	2595	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2015.root	Mon Jun 22 02:41:08 PM CEST 2026
2021	OK	4257	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2021.root	Mon Jun 22 03:08:50 PM CEST 2026
2017	OK	6091	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2017.root	Mon Jun 22 03:39:24 PM CEST 2026
2014	OK	6293	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2014.root	Mon Jun 22 03:42:46 PM CEST 2026
2019	OK	6802	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2019.root	Mon Jun 22 03:51:15 PM CEST 2026
2020	OK	6947	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2020.root	Mon Jun 22 03:53:40 PM CEST 2026
2018	OK	7018	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2018.root	Mon Jun 22 03:54:51 PM CEST 2026
2016	OK	7146	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2016.root	Mon Jun 22 03:56:59 PM CEST 2026
