RUN	STATUS	RUNTIME(s)	OUTPUT
2015	OK	4145	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2015.root
2017	OK	8759	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2017.root
2018	OK	8935	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2018.root
2014	OK	9042	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2014.root
2016	OK	9091	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2016.root
2019	OK	8025	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2019.root
2021	OK	5417	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2021.root
2020	OK	7384	/u/ddas/software/Salvador/rootfiles/ddas/meta/meta_2020.root
