Average.Position.Y.54:                   30.34
Average.Position.Z.54:                   5.47
Average.Position.X.55:                   7.78
Average.Position.Y.55:                   38.91
Average.Position.Z.55:                   5.57
Average.Position.X.56:                   -7.95
Average.Position.Y.56:                   38.96
Average.Position.Z.56:                   5.56
Average.Position.X.57:                   -22.69
Average.Position.Y.57:                   30.15
Average.Position.Z.57:                   5.46
Average.Position.X.58:                   -31.04
Average.Position.Y.58:                   21.5
Average.Position.Z.58:                   5.53
Average.Position.X.59:                   -35.32
Average.Position.Y.59:                   13.1
Average.Position.Z.59:                   5.45
Average.Position.X.60:                   -36.58
Average.Position.Y.60:                   4.3
Average.Position.Z.60:                   5.41
Average.Position.X.61:                   -36.97
Average.Position.Y.61:                   -4.47
Average.Position.Z.61:                   5.4
Average.Position.X.62:                   -35.35
Average.Position.Y.62:                   -12.94
Average.Position.Z.62:                   5.52
Average.Position.X.63:                   -30.57
Average.Position.Y.63:                   -21.2
Average.Position.Z.63:                   5.51
Average.Position.X.64:                   -22.37
Average.Position.Y.64:                   -30.1
Average.Position.Z.64:                   5.57
Average.Position.X.65:                   -7.65
Average.Position.Y.65:                   -38.99
Average.Position.Z.65:                   5.49
Average.Position.X.66:                   7.73
Average.Position.Y.66:                   -38.86
Average.Position.Z.66:                   11.38
Average.Position.X.67:                   22.26
Average.Position.Y.67:                   -30.41
Average.Position.Z.67:                   11.42
Average.Position.X.68:                   31.1
Average.Position.Y.68:                   -21.53
Average.Position.Z.68:                   11.35
Average.Position.X.69:                   35.24
Average.Position.Y.69:                   -12.85
Average.Position.Z.69:                   11.37
Average.Position.X.70:                   37.32
Average.Position.Y.70:                   -4.37
Average.Position.Z.70:                   11.35
Average.Position.X.71:                   37.52
Average.Position.Y.71:                   4.21
Average.Position.Z.71:                   11.3
Average.Position.X.72:                   35.52
Average.Position.Y.72:                   13.04
Average.Position.Z.72:                   11.28
Average.Position.X.73:                   31.01
Average.Position.Y.73:                   21.63
Average.Position.Z.73:                   11.31
Average.Position.X.74:                   22.46
Average.Position.Y.74:                   30.19
Average.Position.Z.74:                   11.42
Average.Position.X.75:                   8.04
Average.Position.Y.75:                   39.06
Average.Position.Z.75:                   11.3
Average.Position.X.76:                   -7.88
Average.Position.Y.76:                   39.06
Average.Position.Z.76:                   11.39
Average.Position.X.77:                   -22.23
Average.Position.Y.77:                   30.3
Average.Position.Z.77:                   11.35
Average.Position.X.78:                   -30.69
Average.Position.Y.78:                   21.64
Average.Position.Z.78:                   11.33
Average.Position.X.79:                   -35.19
Average.Position.Y.79:                   12.93
Average.Position.Z.79:                   11.32
Average.Position.X.80:                   -37.37
Average.Position.Y.80:                   4.48
Average.Position.Z.80:                   11.36
Average.Position.X.81:                   -37.42
Average.Position.Y.81:                   -4.36
Average.Position.Z.81:                   11.31
Average.Position.X.82:                   -35.45
Average.Position.Y.82:                   -13.04
Average.Position.Z.82:                   11.27
Average.Position.X.83:                   -31.07
Average.Position.Y.83:                   -21.54
Average.Position.Z.83:                   11.46
Average.Position.X.84:                   -22.03
Average.Position.Y.84:                   -30.16
Average.Position.Z.84:                   11.39
Average.Position.X.85:                   -7.9
Average.Position.Y.85:                   -39.11
Average.Position.Z.85:                   11.43
Average.Position.X.86:                   7.73
Average.Position.Y.86:                   -39.14
Average.Position.Z.86:                   17.35
Average.Position.X.87:                   22.17
Average.Position.Y.87:                   -30.22
Average.Position.Z.87:                   17.25
Average.Position.X.88:                   31.01
Average.Position.Y.88:                   -21.57
Average.Position.Z.88:                   17.3
Average.Position.X.89:                   35.39
Average.Position.Y.89:                   -12.88
Average.Position.Z.89:                   17.29
Average.Position.X.90:                   37.5
Average.Position.Y.90:                   -4.3
Average.Position.Z.90:                   17.33
Average.Position.X.91:                   37.36
Average.Position.Y.91:                   4.35
Average.Position.Z.91:                   17.28
Average.Position.X.92:                   34.95
Average.Position.Y.92:                   12.85
Average.Position.Z.92:                   17.27
Average.Position.X.93:                   30.9
Average.Position.Y.93:                   21.61
Average.Position.Z.93:                   17.3
Average.Position.X.94:                   22.39
Average.Position.Y.94:                   30.18
Average.Position.Z.94:                   17.39
Average.Position.X.95:                   7.84
Average.Position.Y.95:                   38.98
Average.Position.Z.95:                   17.28
Average.Position.X.96:                   -7.84
Average.Position.Y.96:                   39.21
Average.Position.Z.96:                   17.29
Average.Position.X.97:                   -22.54
Average.Position.Y.97:                   30.17
Average.Position.Z.97:                   17.38
Average.Position.X.98:                   -30.96
Average.Position.Y.98:                   21.7
Average.Position.Z.98:                   17.24
Average.Position.X.99:                   -35.16
Average.Position.Y.99:                   12.85
Average.Position.Z.99:                   17.39
Average.Position.X.100:                  -36.99
Average.Position.Y.100:                  4.28
Average.Position.Z.100:                  17.3
Average.Position.X.101:                  -37.47
Average.Position.Y.101:                  -4.55
Average.Position.Z.101:                  17.3
Average.Position.X.102:                  -35.51
Average.Position.Y.102:                  -13.01
Average.Position.Z.102:                  17.4
Average.Position.X.103:                  -30.74
Average.Position.Y.103:                  -21.5
